"","date","frequancy"
"1","2016-12-02 10:00:00",219
"2","2016-12-02 11:00:00",471
"3","2016-12-02 12:00:00",603
"4","2016-12-02 13:00:00",594
"5","2016-12-02 14:00:00",647
"6","2016-12-02 15:00:00",587
"7","2016-12-02 16:00:00",663
"8","2016-12-02 17:00:00",679
"9","2016-12-02 18:00:00",729
"10","2016-12-02 19:00:00",702
"11","2016-12-02 20:00:00",558
"12","2016-12-02 21:00:00",615
"13","2016-12-02 22:00:00",672
"14","2016-12-02 23:00:00",578
"15","2016-12-03 00:00:00",531
"16","2016-12-03 01:00:00",679
"17","2016-12-03 02:00:00",585
"18","2016-12-03 03:00:00",595
"19","2016-12-03 04:00:00",656
"20","2016-12-03 05:00:00",642
"21","2016-12-03 06:00:00",421
"22","2016-12-03 07:00:00",410
"23","2016-12-03 08:00:00",524
"24","2016-12-03 09:00:00",424
"25","2016-12-03 10:00:00",398
"26","2016-12-03 11:00:00",449
"27","2016-12-03 12:00:00",532
"28","2016-12-03 13:00:00",75
