"","text","screenName","longitude","latitude"
"2628","#Oscars2017 | Directing nominees! #Oscars #OscarNoms #MejorDirector… https://t.co/Id8AfI7qM3","HotLatinMusic","-118.33333333","34.1"
"3397","Full list of 89th annual Academy Award nominations Oscars https://t.co/Anf4F444BB","Chicago_CP","-87.62626724","41.88804564"
"3452","Oscars 2017: Nominees unveiled in Hollywood this morning https://t.co/WueJa6lTq5","WinnipegCP","-97.13954053","49.89034914"
"3463","Oscars Picture https://t.co/enJOgjiPua","ElPasoCP","-106.4855885","31.76017093"
"3476","See which films and actors are being nominated for Oscars this year: Congrats to all the n… https://t.co/mC8QcM9KYD","Chicago_CP","-87.62626724","41.88804564"
"3486","Oscars go gaga for ‘La La Land’ with record-tying 14 nods https://t.co/7VHUOyDqCO","Boston_CP","-71.0552516","42.3561185"
"3489","Oscars Lead Actress https://t.co/rWFR5Ef2NA","ElPasoCP","-106.4855885","31.76017093"
"3494","See which films and actors were nominated for Oscars this year: Congrats to all the nomine… https://t.co/3eTO3JRpsn","PhiladelphiaCP","-75.16645509","39.93997834"
"3521","OscarNoms: ""La La Land"" lands record-tying 14 Academy Awards nominations https://t.co/VC0u8sc5va","LosAngelesCP","-118.24533538","34.05161048"
"3553","The complete list of 2017 Oscar nominees https://t.co/udsgyYycg8","LosAngelesCP","-118.24533538","34.05161048"
"9424","Oscar Nominees Are Out! Did Deadpool Make The Cut?  https://t.co/ArVMd0rAPZ","LRM_Exclusive","-74.0059731","40.7143528"
"11057","#Oscars2017 | Supporting Actress nominees! | Mejor Actriz de Reparto | #Oscars #OscarNoms… https://t.co/qcoWisU1yt","HotLatinMusic","-118.33333333","34.1"
"14013","#Oscars2017 | Animated Feature nominees! | Mejor Película Animada | #Oscars… https://t.co/yfFyjdRjBz","HotLatinMusic","-118.33333333","34.1"
"14770","#oscars es ahora una tendencia en Spain

https://t.co/MQW3QDHpbt https://t.co/k1rt2J4JvV","TrendsEspana","-3.70325","40.4167"
"14810","<U+2488> PUÑETA
<U+2489> Split
<U+248A> #puertorico
<U+248B> #OscarNoms
<U+248C> #Oscars

2017/1/24 09:52 AST #trndnl https://t.co/Q2h6KsMyr0","trendinaliaPR","-66.4289","18.2233"
"14819","#oscars es ahora una tendencia en Peru

https://t.co/wSdAkrZOIH https://t.co/i6avYauFzv","TrendsmapPeru","-79.03","-8.11237"
"15141","See which films and actors are being nominated for Oscars this year: Congrats to all the n… https://t.co/V85kr16CdE","NewYorkCP","-74.00001602","40.71669795"
"15664","8 of 9 Best Picture nominees are available on torrents. Only #Lion missing. (I just missed it in the theaters here two weeks ago. ) #Oscars","NotThatBobJames","100.5616141","13.72284426"
"16772","#Oscars2017 | Adapted Screenplay nominees! | #Nominados a Mejor Guíon Adaptado | #Oscars… https://t.co/765z4k78Nh","HotLatinMusic","-118.33333333","34.1"
